prompt,completion
像模像樣的,似模似樣
極像,似足
但是,但係
凡是,但凡
胎動,作動
造反,作反
誇張,作大
對著幹,作對
找死,作死
裝模作樣,作狀
他,佢
他們,佢地
他們很對勁兒,佢地好夾
用,使
沒必要,使乜
進口貨,來佬貨
現在,依家
按時,依時依候
動靜,依郁
休閑服,便服
風頭十足,係威係勢
在,係度
服了你了,保你大
給,俾
用心,俾心機
倉庫,倉
那個傢伙,個條友
一個來月,個零月
後視鏡,倒後鏡
回鍋水,倒汗水
拆台,倒米
倒過來,倒翻轉
倒立,倒豎葱
假如,假若
吊喪,做七
送禮,做人情
和稀泥,做和事佬
演戲,做戲
慶祝生日,做生日
打牙祭,做禡
在幹什麼,做緊乜野
表演,做騷
蒙混過去,側側膊
搶跑,偷步
削薄,偷薄
偷雞不著蝕把米,偷雞唔到蝕渣米
傳球,傳波
瘋女人,傻婆
傻乎乎的,傻更更
聊天兒,傾偈
談得來,傾得埋
聊天,傾解
價目表,價錢牌
質優,優質
存,儲
存錢,儲錢
打腫臉充胖子,充大頭鬼
前一陣子,先排
光亮,光猛
光盤,光碟
日光燈,光管
光溜溜,光脫脫
碎牛肉,免治牛肉
轉悠,兜個圈
繞路,兜路
招風耳朵,兜風耳
搬新居,入伙
入住許可證,入伙紙
坐牢,入冊
入選,入圍
收入,入息
入賬,入數
加油,入油
壁櫥,入牆櫃
進剪票口,入閘
裡面,入面
內奸,內鬼
娘兒倆,兩仔乸
父子倆,兩仔爺
夫婦,兩公婆
上下夠不,兩頭唔到岸
差不多,八八九九
好打聽,八卦
三八,八婆
公文包,公事包
小人書,公仔書
方便麵,公仔麵
公共房屋,公屋
出差,公幹
六輪,六啤半
沒甚麼特別,冇乜點
沒份兒,冇份
拿他沒辦法,冇佢收
沒信用,冇口齒
沒教養,冇家教
斷線風箏,冇尾飛鉈
沒多久,冇幾耐
沒門兒,冇得傾
無可挑剔,冇得彈
沒法治,冇得醫
無與倫比,冇得頂
有頭沒尾,冇手尾
沒本事,冇料
沒空兒,冇時間
沒戲,冇機會
沒人管,冇王管
掃興,冇癮
沒辦法,冇符
沒正經,冇紋路
沒胃口,冇胃口
沒戲,冇行
造孽,冇陰功
丟臉,冇面
要不然,再唔係
三長兩短,冬瓜豆腐
炸麵餅圈,冬甩
雪,冰
過道,冷巷
空調,冷氣
空調機,冷氣機
毛衣,冷衫
著涼,冷親
剩飯,冷飯
殘羹剩飯,冷飯菜汁
冷冰冰的,凍冰冰
冷水,凍水
涼開水,凍滾水
著涼,凍親
打水漂兒,凍過水
小椅子,凳仔
脫肛,凸腸頭
出生,出世
出生證,出世紙
出格,出位
報銷,出公數
出獄,出冊
使勁,出力
明年,出年
出麻疹,出疹
發工資,出糧
耍滑頭,出蠱惑
耍手腕,出術
作弊,出貓
刀兒,刀
小刀,刀仔
刀鋒,刀口
彆扭,刁僑扭擰
隨時,分分鐘
分岔路,分叉路
平均分配,分豬肉
撐艇仔,划船
初來乍到,初來報到
初來乍到,初來步到
起初,初初
新手,初哥
刨子,刨
啃書本,刨書
削鉛筆,刨鉛筆
紅包,利是
划得來,制得過
食水管制,制水
刮鬍子,剃鬚
勾,剔
推光頭,剝光豬（下棋）
拔牙,剝牙
嗑瓜子兒,剝瓜子
電視連續劇,劇集
辭職,劈炮
辭職不幹,劈炮唔撈
氣力,力水
武術電影,功夫片
加薪,加人工
漲價,加價
全加起來,加加埋埋
全加起來,加埋晒
加大號,加大碼
插一嘴,加把口
絲瓜,勝瓜
動氣,勞氣
窮兇極惡,勢兇夾狼
形勢,勢色
勤奮,勤力
均勻,勻巡
偷漢子,勾佬
墊底,包尾
包圓兒,包底
抬槓,包拗頸
包羅萬象,包羅萬有
郵包,包裹
划算,化算
勺子,匙羹
躲起來,匿埋
點球,十二碼球
七上八下,十五十六
十問九不答,十問九唔應
救護車,十字車
八字還沒一撇,十畫未有一撇
千挑萬選,千揀萬揀
千萬,千祈
不標準,半咸淡
混血兒,半唐番
半瓶醋,半桶水
四分之一決賽,半準決賽
不標準,半鹹淡
終於,卒之
醬豆腐,南乳
鑽空子,博懵
酥脆,卜卜脆
廂座兒,卡位
陣容,卡士
便裝短大衣,卡曲衫
小蓋章,印仔
懸得乎,危危乎
就是,即係
馬上,即刻
儘管,即管
撂挑子,卸膊
花邊,厘士
圓珠筆,原子筆
上街,去街
上馬,去馬
又這又那,又乜又物
求爺爺告奶奶,又跪又拜
小子,友仔
反悔,反口
頑皮,反斗
搗蛋鬼,反斗星
反而,反為
翻臉不認人,反轉豬肚就係屎
鬧翻,反面
忘恩負義,反骨
白眼兒狼,反骨仔
小叔子,叔仔
錄取,取錄
接受,受落
吃軟不吃硬,受軟唔受硬
嘴甜,口乖
自相矛盾,口同鼻拗
嘴唇,口唇
啞口無言,口啞啞
多嘴多舌,口多多
嘴嚴,口密
嘴把式,口水佬
嘮嘮叨叨的,口水多過茶
圍嘴兒,口水肩
沒胃口,口淡淡
嘴快,口疏
嘴硬,口硬
結結巴巴,口窒窒
零食,口立濕
有口氣,口臭
嘴巴花巧,口花花
故事,古仔
小混混,古惑仔
右方,右手邊
能幹,叻
合資,合伙
核桃,合桃
空房子,吉屋
墜子,吊嘴
揹帶褲,吊帶褲
吊胃口,吊癮
上吊,吊頸
打點滴,吊鹽水
同屋,同房
一口鍋裏吃飯,同撈同煲
名字,名
金槍魚,吞拿魚
嘬手指頭,吮手指
啃豬蹄兒,吮豬手
瞎說,吹水
泡泡糖,吹波糖
氣壞,吹脹
盯緊,吼實
找破綻,吼路
騙,呃
欺騙人,呃人
短秤,呃秤
領帶,呔
領帶夾子,呔夾
這一輩子,呢世人
這位,呢位
這個,呢個
這次,呢勻
這兒,呢度
這些日子,呢排
這次,呢次
這陣兒,呢輪
經常,周不時
全身,周身
一身麻煩,周身蟻
吃醋,呷醋
怨這怨那,呻呢呻嘮
哭窮,呻窮
吐苦水,呻笨
這,咁
碰巧,咁啱
這麼多,咁多
苦力,咕喱
臨時演員,咖喱啡
嗎,咩
麥克風,咪
不要吵,咪嘈
磨蹭,咪摸
啃書本,咪書
先別走,咪走住
不要動,咪郁
計程器,咪錶
別給我胡指,咪點我
講悄悄話,咬耳仔
名片,咭片
咳嗽,咳
咸鴨蛋,咸蛋
嘿嘿,哈哈
齙牙,哨牙
噎著,哽親
教唆,唆擺
口紅,唇膏
中式服裝,唐裝
不,唔
不用,唔使
不肯,唔制
不划算,唔化算
不沾邊兒,唔啦更
不但,唔單止
棒槌,唔在行
不落後,唔執輸
或多或少,唔多唔少
不過癮,唔夠喉
缺覺,唔夠訓
合不來,唔夾
快別這麼說,唔好咁講
很抱歉,唔好意思
不對勁兒,唔對路
少不了,唔少得
不得了,唔得掂
不在乎,唔志在
不服氣,唔忿氣
不瞞你說,唔怕話你知
怪不得,唔怪得
不愁,唔憂
不值得,唔抵
不行,唔掂
不幹,唔撈
不光是,唔止
不倫不類,唔湯唔水
大大咧咧,唔爹唔吊
沒出色,唔生性
愛搭不理,唔瞅唔睬
睡不醒,唔知醒
沒羞,唔知醜
沒用,唔等使
不經不覺,唔經唔覺
不經思考,唔經大腦
沒事兒,唔緊要
不耐用,唔襟
不見了一半,唔見一籮穀
不小心,唔覺意
沒留意,唔覺眼
謝謝,唔該
不論,唔論
難道,唔通
難道是,唔通係
不識趣,唔通氣
擠牙膏,唧牙膏
唱粵劇,唱大戲
換零錢,唱散紙
音樂節目主持人,唱片騎師
打小算盤,唸縮數
洋梨,啤梨
撲克,啤牌
臨終關懷,善終服務
嗓子,喉嚨
嗓子疼,喉嚨痛
小舌頭,喉嚨腚
急,喉急
喉結,喉核
哭,喊
眼淚包,喊包
呼天搶地,喊苦喊忽
單個兒,單丁
指雞罵狗,單單打打
單行線,單程路
橫格本,單行簿
自行車,單車
叫,嗌
吵架,嗌交
爭吵,嗌霎
享受,嘆世界
吵吵嚷嚷,嘈喧巴閉
吐奶,嘔奶
吐血,嘔血
商標,嘜頭
哎呀,嘩
嘴刁,嘴尖
踫一鼻子灰,噴一面屁
嚇呆,嚇窒
嚇著了,嚇親
來真格,嚟真
了,囉
屁股,囉柚
四周,四周圍
四處奔波,四圍笛
到處走,四圍走
方正,四正
回扣,回佣
退款,回水
小心,因住
順應,因應
國字臉,國字口面
拖把,地拖
地毯,地氈
地窖,地牢
房地產,地產
工地,地盤
地頭蛇,地膽
地頭蛇,地頭蟲
地毯,地
均勻,均存
坐下,坐低
同坐一條船,坐埋一條船
被罰停賽,坐波監
坐牢,坐監
坐食山空,坐食山崩
溝渠,坑渠
地溝油,坑渠油
簸箕,垃圾鏟
帥哥,型仔
合,埋
就座,埋位
裡面,埋便
結賬,埋單
收尾,埋尾
靠岸,埋岸
結帳,埋數
勾芡,埋芡
靠岸,埋頭
撿,執
撿到好東西,執到寶
捲舖蓋,執包袱
撿垃圾,執垃圾
排字,執字粒
整理屋子,執屋
收拾床舖,執床
收拾房間,執房
擦屁股,執手尾
收拾,執拾
撿現成兒,執死雞
應變,執生
倒閉,執笠
走運,執翻身彩
抓藥,執藥
疊被子,執被
撿起,執起
吃虧,執輸
堂姐,堂家姐
堂弟,堂細佬
堂妹,堂細妹
真消息,堅料
蒿子杆兒,塘蒿
堵車,塞車
償命,填命
去火,墜火
綱筆,墨水筆
小店,士多
草莓,士多啤梨
儲物間,士多房
扳手,士巴拿
手杖,士的
岳母,外母
岳母,外母
外地人,外江佬
岳父,外父
岳父,外父
棒槌,外行
外面,外邊
烤箱,多士爐
心眼兒多,多心
比你多,多過你
多退少補,多除少補
舊貨商店,夜冷店
夜裡,夜晚黑
包夜,夜蒲
夜貓子,夜鬼
齊了,夠晒數
足夠有餘,夠有凸
夠錢,夠水頭
夠格,夠班
到點,夠鐘
大塊兒,大件
哥哥,大佬
解僱信,大信封
汽燈,大光燈
大減價,大出血
命大,大命
孩子氣,大唔透
陣容鼎盛,大堆頭
少說,大大話話
媒婆,大妗姐
大姑姑,大姑奶
大主顧,大客仔
大後天,大後日
糊塗,大懵
粵劇,大戲
有的是,大把
當舖,大押
挺不少的,大拿拿
路攤子,大排檔
大換班,大換血
大模大樣,大模斯樣
賭攤兒,大檔
二百五,大泡和
吹牛大王,大炮友
臼齒,大牙
大律師,大狀
大號,大碼
大象,大笨象
大人物,大粒佬
紅得發紫,大紅大紫
厚此薄彼,大細超
風馬牛不相及,大纜都扯唔埋
放高利貸,大耳窿
手提擴音器,大聲公
擺譜兒,大肆鋪張
懷孕,大肚
孕婦,大肚婆
大肚子,大肚腩
亂花錢,大花筒
大衣,大褸
黃豆芽,大豆芽
土氣,大鄉里
大麻煩,大鑊
大鍋飯,大鑊飯
大排場,大陣仗
壯實,大隻
大塊頭,大隻佬
光說不做,大隻講
牛高馬大,大隻騾騾
馬大哈,大頭蝦
快艇,大飛
好吃懶做,大食懶
馬來西亞,大馬
大手大腳,大駛
大腿,大髀
天亮,天光
天氣,天口
曬台,天台
曬台,天棚
天邊,天腳底
天花亂墜,天花龍鳳
緊急出口,太平門
宇航員,太空人
航天飛機,太空穿梭機
宇宙飛船,太空船
太,太過
墨鏡,太陽眼鏡
葫蘆,夫佬
冒失,失魂
冒失鬼,失魂魚
對嘴,夾口型
磨心,夾心人
強行,夾硬
保險箱,夾萬
湊錢,夾錢
調皮,奀皮
獼猴果,奇異果
乾媽,契媽
情夫,契家佬
情婦,契家婆
混蛋,契弟
乾爹,契爺
套間,套房
婆婆,奶奶
奶瓶,奶樽
奸詐,奸
賴皮,奸茅
耍賴,奸賴
好好地,好地地
車堵得很,好塞車
晴天,好天
幸好,好彩
心眼好,好心地
好心當作驢肝肺,好心著雷劈
好兆頭,好意頭
手藝好,好手勢
很划算,好抵買
很晚,好晏
景氣好,好景
好說話兒,好相與
驢糞球兒外面光,好眉好貌生沙虱
眼力好,好眼
好看,好睇
很久,好耐
很久沒見,好耐冇見
慢走,好聲行
真壞,好衰
暢銷,好賣
很漂亮,好靚
好吃懶做,好食懶飛
異想天開,妙想天開
姑父,姑丈
小姑子,姑仔
且不說,姑勿論
姑媽,姑姐
小姨妹,姨仔
磨蹭,姿整
神氣,威
威風,威水
討小老婆,娶二奶
奶奶,嬤嬤
生氣,嬲
嫩薑,子薑
大褲衩子,孖煙通
孿生,孖生
合睡,孖鋪
季末,季尾
吝嗇,孤寒
吝嗇鬼,孤寒種
背帶,孭帶
頂缸,孭飛
像你說的,學你話齋
學徒,學師仔
學生,學生哥
學車者,學神
學走路,學行
學步車,學行車
學駕駛,學車
小兒子,孻仔
小女兒,孻女
孖生兄弟,孿生兄弟
孖生女,孿生姊妹
守活寡,守生寡
盎司,安士
公立學校,官校
還是,定係
愣住了,定晒形
恨不得,宜得
麵包車,客貨車
夜宵,宵夜
家具,家俬
姐姐,家姐
家務,家頭細務
密談,密斟
局促,密質質
單身漢,寡佬
寡婦,寡母婆
結實,實淨
手都寫酸了,寫到手軟
保證,寫包單
寫毛筆字,寫大字
辦公桌,寫字台
辦公室,寫字樓
愜意,寫意
寬帶,寬頻
斜視眼,射喱眼
投籃,射籃
被,將
故意,專登
昨天,尋日
找樂子,尋開心
對面,對出
小肚雞腸,小器
小孩兒,小孩
一點兒,小小
公共小巴,小巴
疝氣,小腸氣
尖尖的,尖不甩
尖尖的,尖筆甩
方便,就手
方便,就腳
尺子,尺
尾巴,尾
末班車,尾班車
尾骨,尾龍骨
尿布,尿片
被迫,局住
偷渡,屈蛇
局促,屈質
房子,屋
家裏,屋企
房契,屋契
房租,屋租
屁股,屎忽
餿主意,屎橋
山坡兒,山坡
山洞,山窿
山麓,山腳
搶白,岔亂歌柄
仰起頭,岳高頭
哪壼不開提哪壼,崩口人忌崩口碗
起皺紋,巢
左思右想,左度右度
左方,左手邊
警察,差人
錯失,差池
踏空,差錯腳
警署,差館
百分之,巴仙
公車,巴士
潑辣,巴辣
了不起,巴閉
貝雷帽,巴黎帽
胡同,巷
李子,布冧
布丁,布甸
碎布,布碎
鮮貝,帶子
提攜,帶挈
光顧,幫襯
便宜,平
平信,平郵
除夕,年卅晚
年底,年尾
年初,年頭
細,幼
多少錢,幾多錢
說什麼也不幹,幾大都唔制
人挺好,幾好人
挺快的,幾快
何時,幾時
多久,幾耐
床墊,床褥
前科,底案
內衣,底衫
內褲,底褲
想辦法,度橋
借錢,度水
位子,座位
窩囊,廢柴
糟了,弊傢伙
弟媳婦兒,弟婦
批評,彈
彈簧床,彈弓床
筋道兒,彈牙
影子,影
複印,影印
複印機,影印機
拍照,影相
替補,後備
後腦勺,後尾枕
後天,後日
小青年,後生仔
可怕,得人驚
一場空,得個吉
光說不做,得個講字
可愛,得意
得意,得戚
瞎吹,得把口
得手,得米
有空,得閒
康復,復康
胸針,心口針
心腸,心地
多心,心多
三心二意,心大心細
焦急,心急
死心,心息
掛著心,心掛掛
把心都玩兒野了,心散
耐心,心機
心意,心水
心灰意冷,心淡
煩躁,心火盛
鬧心,心翳
動心,心郁郁
奶油,忌廉
忙得喘不過氣來,忙到踢晒腳
文件夾,快勞
冷不丁兒,忽然間
害羞,怕醜
含羞草,怕醜草
迫不及待,急不及待
憋尿,急尿
匆匆,急急腳
急診室,急症室
責怪,怪責
奇怪,怪雞
襯衫,恤衫
想結婚,恨嫁
兇,惡
難忍,惡頂
兆頭,意頭
艾滋病,愛滋病
慌里慌張,慌失失
生怕,慌死
慢工出細活兒,慢工出細貨
習慣,慣
省事,慳功夫
節儉,慳家
能省就省,慳得就慳
省時省工,慳水慳力
省錢,慳皮
省錢,慳錢
省電,慳電
節能燈泡,慳電膽
恨,憎
答應,應承
應景兒,應節
糊塗蟲,懵查查
懵懵懂懂,懵盛盛
便鞋,懶佬鞋
愛搭不理,懶理
瞌睡蟲,懶瞓豬
傻裡傻氣的,戇居居
一輩子,成世
一輩子,成世人
整天,成日
老是,成日都
整個早上,成朝
我們,我哋
我先走,我走先
忌口,戒口
斷奶,戒奶
伴郎,戥穿石
攔出租車,截的士
高潮,戲肉
電影院,戲院
屋,房
小轎車,房車
扇子,扇
禮物,手信
手藝高,手勢好
手帕,手巾仔
手銬,手扣
手提籃,手抽
大拇指,手指公
小拇指,手指尾
胳膊肘朝外扭,手指拗出唔拗入
指紋,手指模
手指縫,手指罅
筆記本,手提電腦
手機,手提電話
手掌,手板
胳膊,手瓜
手發麻,手痹
手氣,手神
手頭緊,手緊
胳膊,手臂
手提包,手袋
手套,手袜
手套,手襪
肘子,手踭
手鐲,手鈪
驚醒,扎醒
超車,扒頭
划龍船,扒龍舟
打噴嚏,打乞嚏
打架,打交
打倒,打低
發抖,打冷震
打鉤兒,打剔
練武術,打功夫
保證,打包單
繫領帶,打呔
打平手,打和
佔線了,打唔通
打哈欠,打喊路
勒索,打單
打嗝兒,打噎
病秧子,打壞
成雙,打孖
唸完經趕和尚,打完齋唔要和尚
插隊,打尖
做工,打工
打嗝兒,打思噎
揩油,打斧頭
壞掉了,打柴
打電子遊戲,打機
豁出命,打死罷就
打球,打波
繫領結,打煲呔
打碎,打爛
打破砂鍋問到底,打爛砂盆問到篤
丟飯碗,打爛飯碗
聞聊,打牙骹
照料,打理
打孔機,打窿機
打印存摺,打簿
打馬虎眼,打茅波
偷錢包,打荷包
順杆爬,打蛇隨棍上
繞成一圈兒一圈兒的,打蛇餅
翻跟頭,打觔斗
赤腳,打赤腳
涮鍋子,打邊爐
提起精神,打醒精神
注射證明,打針紙
敲鑼,打鑼
翻筋斗,打關斗
碎催,打雜
釘鞋釘,打鞋碼
蕩鞦韆,打韆鞦
打頭炮,打頭陣
颳颱風,打風
鐵著呢,打風都打唔甩
拿權,打骰
打麻將,打麻雀
打呼嚕,打鼻寒
打呼嚕,打鼻鼾
唸經超渡,打齋
串通,打龍通
拍馬屁,托大腳
攔胳膊,托手踭
攔胳膊,托手踭
托福,托賴
別針兒,扣針
鬧彆扭,扭計
打扮,扮
裝模作樣,扮代表
披著羊皮吃羊,扮豬食老虎
裝蒜,扮野
擺闊,扮闊佬
打扮,扮靚
拔河,扯大纜
發火,扯火
提線木偶,扯線公仔
哮喘,扯蝦
演雙簧,扯貓尾
打呼嚕,扯鼻寒
自動扶梯,扶手電梯
削,批
削皮,批皮
付款,找數
有屁用,把屁
有把握,把炮
切脈,把脈
有甚麼用,把鬼
或者,抑或
歇會兒,抖吓
歇口氣,抖啖氣
造孽,折墮
折扣,折頭
划算,抵
活該,抵你死
很划算,抵到爛
值得嗎,抵唔抵
經得起,抵得
活該,抵死
划算,抵買
拖地板,抹地
抹桌子,抹枱
抹布,抹枱布
擦窗戶,抹窗
提,抽
抽空,抽時間
換氣扇,抽氣扇
除濕機,抽濕機
挑眼,抽秤
拆房子,拆樓
拆伙,拆檔
截長補短,拉上補下
抓人,拉人
平均,拉勻
捲尺,拉尺
完蛋,拉柴
掉書袋,拋書包
嚇唬,拋浪頭
攝影愛好者,拍友
談戀愛,拍拖
搭檔,拍檔
情人,拖友
接線板,拖板
奶油太妃糖,拖肥
掰腕子,拗手瓜
腳崴了,拗柴
慪氣,拗氣
抬槓,拗頸
刺兒頭,招積
商標紙,招紙
掃墓,拜山
扎傷,拮親
指甲刀,指甲鉗
點撥,指點
抵押,按揭
押瓶,按樽
押金,按金
熬日子,挨世界
傍晚,挨晚
提鞋,挽鞋
抓,捉
摳字眼兒,捉字虱
下棋,捉棋
抓辮子,捉痛腳
抓老鼠,捉老鼠
抓賊,捉賊
獻血,捐血
熬日子,捱世界
受不了,捱唔住
熬夜,捱夜
熬夜,捱更抵夜
拼死拼活,捱生捱死
做牛馬,捱騾仔
掃帚,掃把
俯臥撐,掌上壓
排大隊,排長龍
霸道,掗拃
挖,掘
挖井,掘井
死胡同,掘頭巷
死胡同,掘頭路
惦記,掛住
名義上,掛名
扔,掟
扔球,掟波
吹了,掟煲
刮削,掠水
串門兒,探朋友
量體溫,探熱
體溫計,探熱針
開關,掣
挑,揀
挑吃揀喝,揀飲擇食
葡萄,提子
葡萄乾,提子乾
取款單,提款單
插座,插蘇
插頭,插蘇頭
佔便宜,揩油
擦壞,揩花
揭曉,揭盅
春聯,揮春
壞朋友,損友
拼命,搏命
佔便宜,搏懵
不想工作,搏炒
拼盡,搏盡
蹺蹺板,搖搖板
鬧事,搞事
捅個大婁子,搞出個大頭佛
完事兒,搞掂
起哄,搞搞震
弄錯,搞錯
捏,搣
剝皮,搣皮
掰開,搣開
搬家,搬屋
乘,搭
拼桌,搭台
捎帶,搭單
插嘴,搭嘴
拼桌,搭檯
乘車,搭車
串線,搭錯線
找,搵
騙人,搵丁
找不著,搵唔到
抄肥,搵外快
找工作,搵工
被騙了,搵笨
佔便宜,搵著數
掙錢,搵銀
掙錢,搵錢
謀生,搵食
暢銷,搶手
招眼,搶眼
奪目,搶鏡
塗抹,搽
搧,摑
葵花子兒,摩登瓜子
吃閉門羹,摸門釘
折椅,摺櫈
疊被子,摺被
潲雨,撇雨
串地盤,撈過界
拌飯,撈飯
拌麵,撈麵
支持,撐
划船,撐艇
插嘴,撘嗲
拿手,撚手
碰巧,撞啱
碰運氣,撞彩
碰手氣,撞手神
碰壁,撞板
成功少碰壁多,撞板多過食飯
耳背,撞聾
見鬼,撞鬼
搧扇子,撥扇
惹事生非,撩事鬥非
逗女孩子,撩女仔
掏耳朵,撩耳仔
籌錢,撲水
奔票,撲飛
摔,撻
攀,擒
爬高,擒高
東張西望,擔天望地
叉一字腿,擘一字馬
睜大眼睛,擘大隻眼
掰開,擘開
撕破臉,擘面
擁擠,擠擁
擁擠,擠迫
擦傷,擦損
刷牙,擦牙
橡皮擦,擦膠
擲骰子,擲骰仔
擺攤兒,擺檔
擺架子,擺款
弄錯,擺烏龍
擺姿勢,擺甫士
設宴,擺酒
磁石,攝石
曲里拐彎,攣弓蝦米
晾涼,攤凍
攤子,攤檔
鬧事兒,攪事
弄勻和,攪勻
弄不了,攪唔掂
搗蛋者,攪屎棍
弄得好,攪得掂
行了,攪掂
搗亂,攪攪震
摟緊,攬實
收藏,收埋
下班,收工
住手,收手
收據,收條
招生,收生
掛上了,收線
住嘴,收聲
掐腰兒,收腰
打烊,收舖
收舊貨的,收買佬
收款員,收銀員
批改功課,改簿
嗆鼻子,攻鼻
下班,放工
放高利貸,放數
出獄,放監
放風箏,放紙鳶
放風箏,放紙鷂
放風,放聲氣
放心,放膽
放鴿子,放飛機
打棍子,政治迫害
過敏,敏感
救護車,救傷車
救活,救返
出點子,教路
零錢,散子
零錢包,散子包
零時工,散工
零錢,散紙
零錢,散銀
裝神弄鬼,整古做怪
捉弄,整蠱
弄傷,整親
弄幾道菜,整返幾味
尾數,數尾
數字電視,數碼電視
挎包,斜孭袋
斜坡,斜路
倒茶,斟茶
買滷菜,斬料
殺頭,斬頭
兒媳婦,新抱
元旦,新曆新年
前衛,新潮
瞎猜,斷估
了結,斷尾
斷檔,斷市
白麵包,方包
於是,於是乎
行李箱,旅行喼
旅遊車,旅遊巴
大天白日,日光日白
天天,日日
日夜盼望,日望夜望
白天,日頭
晚安,早抖
熱鬧,旺場
好說話,易話為
易如反掌,易過借火
小胡鬧,星君仔
洗滌槽,星盤
隨便,是但
有時候,時不時
亮底牌,晒冷
炫耀,晒命
尺碼,晒士
晚輩兒,晚輩
晨操,晨運
暈乎乎,暈佗佗
暈頭轉向,暈晒大浪
暈機,暈機浪
暈船,暈船浪
暈車,暈車浪
暈菜,暈陀陀
保溫瓶,暖水壼
暖烘烘的,暖笠笠
換零票,暢散紙
亮底牌,曬冷
沖洗照片,曬相
差,曳
月亮,月光
月底,月尾
月初,月頭
有個三長兩短,有乜冬瓜豆腐
可以成交,有交易
有兩下子,有兩手
有數兒,有分數
講信用,有口齒
帥,有型
很是樣兒,有型有款
能有幾回,有幾何
能有幾回,有幾可
照樣兒學,有樣學樣
好苗子,有潛質
不管那麼多,有理冇理
有餘,有突
夠哥們兒意思,有義氣
有老有嫩,有老有少
有骨氣,有腰骨
有門路,有路數
有孕,有身己
大款,有錢佬
虎頭蛇尾,有頭威冇尾陣
有口福,有食神
聽天由命,望天打卦
糊里糊塗,朦茶茶
木頭,木
木製家俬,木家俬
木訥,木獨
臭蟲,木虱
沒有,未
沒學爬就學走,未學行先學走
還不行,未得住
早著呢,未有耐
